A,B,C,D
A_25,B_5,C_5,D_0
A_25,B_5,C_5,D_0
A_3,B_3,C_3,D_3
A_0,B_0,C_0,D_0
A_4,B_4,C_4,D_4
A_11,B_11,C_1,D_1
A_9,B_9,C_9,D_4
A_8,B_8,C_8,D_3
A_5,B_5,C_5,D_0
A_8,B_8,C_8,D_3
A_38,B_18,C_8,D_3
A_39,B_19,C_9,D_4
A_4,B_4,C_4,D_4
A_28,B_8,C_8,D_3
A_37,B_17,C_7,D_2
A_27,B_7,C_7,D_2
A_13,B_13,C_3,D_3
A_26,B_6,C_6,D_1
A_16,B_16,C_6,D_1
A_15,B_15,C_5,D_0
A_12,B_12,C_2,D_2
A_29,B_9,C_9,D_4
A_1,B_1,C_1,D_1
A_20,B_0,C_0,D_0
A_15,B_15,C_5,D_0
A_39,B_19,C_9,D_4
A_3,B_3,C_3,D_3
A_8,B_8,C_8,D_3
A_23,B_3,C_3,D_3
A_11,B_11,C_1,D_1
A_29,B_9,C_9,D_4
A_34,B_14,C_4,D_4
A_2,B_2,C_2,D_2
A_26,B_6,C_6,D_1
A_3,B_3,C_3,D_3
A_22,B_2,C_2,D_2
A_1,B_1,C_1,D_1
A_18,B_18,C_8,D_3
A_4,B_4,C_4,D_4
A_1,B_1,C_1,D_1
A_8,B_8,C_8,D_3
A_23,B_3,C_3,D_3
A_11,B_11,C_1,D_1
A_1,B_1,C_1,D_1
A_15,B_15,C_5,D_0
A_34,B_14,C_4,D_4
A_22,B_2,C_2,D_2
A_16,B_16,C_6,D_1
A_9,B_9,C_9,D_4
A_24,B_4,C_4,D_4
A_9,B_9,C_9,D_4
A_37,B_17,C_7,D_2
A_34,B_14,C_4,D_4
A_6,B_6,C_6,D_1
A_23,B_3,C_3,D_3
A_18,B_18,C_8,D_3
A_28,B_8,C_8,D_3
A_27,B_7,C_7,D_2
A_28,B_8,C_8,D_3
A_30,B_10,C_0,D_0
A_2,B_2,C_2,D_2
A_2,B_2,C_2,D_2
A_18,B_18,C_8,D_3
A_35,B_15,C_5,D_0
A_2,B_2,C_2,D_2
A_30,B_10,C_0,D_0
A_7,B_7,C_7,D_2
A_3,B_3,C_3,D_3
A_39,B_19,C_9,D_4
A_29,B_9,C_9,D_4
A_24,B_4,C_4,D_4
A_6,B_6,C_6,D_1
A_16,B_16,C_6,D_1
A_19,B_19,C_9,D_4
A_9,B_9,C_9,D_4
A_9,B_9,C_9,D_4
A_22,B_2,C_2,D_2
A_14,B_14,C_4,D_4
A_18,B_18,C_8,D_3
A_36,B_16,C_6,D_1
A_6,B_6,C_6,D_1
A_19,B_19,C_9,D_4
A_28,B_8,C_8,D_3
A_9,B_9,C_9,D_4
A_32,B_12,C_2,D_2
A_8,B_8,C_8,D_3
A_36,B_16,C_6,D_1
A_10,B_10,C_0,D_0
A_21,B_1,C_1,D_1
A_28,B_8,C_8,D_3
A_31,B_11,C_1,D_1
A_23,B_3,C_3,D_3
A_29,B_9,C_9,D_4
A_0,B_0,C_0,D_0
A_31,B_11,C_1,D_1
A_38,B_18,C_8,D_3
A_6,B_6,C_6,D_1
A_27,B_7,C_7,D_2
A_37,B_17,C_7,D_2
A_6,B_6,C_6,D_1
A_24,B_4,C_4,D_4
A_18,B_18,C_8,D_3
A_7,B_7,C_7,D_2
A_28,B_8,C_8,D_3
A_27,B_7,C_7,D_2
A_16,B_16,C_6,D_1
A_3,B_3,C_3,D_3
A_21,B_1,C_1,D_1
A_11,B_11,C_1,D_1
A_7,B_7,C_7,D_2
A_25,B_5,C_5,D_0
A_37,B_17,C_7,D_2
A_11,B_11,C_1,D_1
A_20,B_0,C_0,D_0
A_31,B_11,C_1,D_1
A_5,B_5,C_5,D_0
A_36,B_16,C_6,D_1
A_32,B_12,C_2,D_2
A_7,B_7,C_7,D_2
A_12,B_12,C_2,D_2
A_3,B_3,C_3,D_3
A_38,B_18,C_8,D_3
A_1,B_1,C_1,D_1
A_23,B_3,C_3,D_3
A_37,B_17,C_7,D_2
A_36,B_16,C_6,D_1
A_33,B_13,C_3,D_3
A_27,B_7,C_7,D_2
A_8,B_8,C_8,D_3
A_18,B_18,C_8,D_3
A_10,B_10,C_0,D_0
A_33,B_13,C_3,D_3
A_19,B_19,C_9,D_4
A_38,B_18,C_8,D_3
A_39,B_19,C_9,D_4
A_6,B_6,C_6,D_1
A_10,B_10,C_0,D_0
A_0,B_0,C_0,D_0
A_7,B_7,C_7,D_2
A_12,B_12,C_2,D_2
A_24,B_4,C_4,D_4
A_28,B_8,C_8,D_3
A_23,B_3,C_3,D_3
A_30,B_10,C_0,D_0
A_34,B_14,C_4,D_4
A_16,B_16,C_6,D_1
A_6,B_6,C_6,D_1
A_23,B_3,C_3,D_3
A_17,B_17,C_7,D_2
A_35,B_15,C_5,D_0
A_23,B_3,C_3,D_3
A_34,B_14,C_4,D_4
A_23,B_3,C_3,D_3
A_7,B_7,C_7,D_2
A_17,B_17,C_7,D_2
A_1,B_1,C_1,D_1
A_0,B_0,C_0,D_0
A_19,B_19,C_9,D_4
A_31,B_11,C_1,D_1
A_29,B_9,C_9,D_4
A_9,B_9,C_9,D_4
A_32,B_12,C_2,D_2
A_36,B_16,C_6,D_1
A_3,B_3,C_3,D_3
A_32,B_12,C_2,D_2
A_8,B_8,C_8,D_3
A_10,B_10,C_0,D_0
A_19,B_19,C_9,D_4
A_1,B_1,C_1,D_1
A_21,B_1,C_1,D_1
A_12,B_12,C_2,D_2
A_17,B_17,C_7,D_2
A_37,B_17,C_7,D_2
A_17,B_17,C_7,D_2
A_33,B_13,C_3,D_3
A_8,B_8,C_8,D_3
A_11,B_11,C_1,D_1
A_8,B_8,C_8,D_3
A_38,B_18,C_8,D_3
A_3,B_3,C_3,D_3
A_28,B_8,C_8,D_3
A_9,B_9,C_9,D_4
A_4,B_4,C_4,D_4
A_1,B_1,C_1,D_1
A_10,B_10,C_0,D_0
A_16,B_16,C_6,D_1
A_39,B_19,C_9,D_4
A_3,B_3,C_3,D_3
A_20,B_0,C_0,D_0
A_15,B_15,C_5,D_0
A_6,B_6,C_6,D_1
A_5,B_5,C_5,D_0
A_2,B_2,C_2,D_2
A_7,B_7,C_7,D_2
A_30,B_10,C_0,D_0
A_21,B_1,C_1,D_1
A_2,B_2,C_2,D_2
A_36,B_16,C_6,D_1
A_11,B_11,C_1,D_1
A_22,B_2,C_2,D_2
A_0,B_0,C_0,D_0
A_9,B_9,C_9,D_4
A_20,B_0,C_0,D_0
A_6,B_6,C_6,D_1
A_15,B_15,C_5,D_0
A_3,B_3,C_3,D_3
A_38,B_18,C_8,D_3
A_3,B_3,C_3,D_3
A_24,B_4,C_4,D_4
A_2,B_2,C_2,D_2
A_38,B_18,C_8,D_3
A_27,B_7,C_7,D_2
A_14,B_14,C_4,D_4
A_24,B_4,C_4,D_4
A_22,B_2,C_2,D_2
A_39,B_19,C_9,D_4
A_29,B_9,C_9,D_4
A_4,B_4,C_4,D_4
A_22,B_2,C_2,D_2
A_38,B_18,C_8,D_3
A_6,B_6,C_6,D_1
A_16,B_16,C_6,D_1
A_36,B_16,C_6,D_1
A_34,B_14,C_4,D_4
A_39,B_19,C_9,D_4
A_38,B_18,C_8,D_3
A_1,B_1,C_1,D_1
A_17,B_17,C_7,D_2
A_26,B_6,C_6,D_1
A_26,B_6,C_6,D_1
A_8,B_8,C_8,D_3
A_16,B_16,C_6,D_1
A_5,B_5,C_5,D_0
A_5,B_5,C_5,D_0
A_22,B_2,C_2,D_2
A_11,B_11,C_1,D_1
A_28,B_8,C_8,D_3
A_33,B_13,C_3,D_3
A_21,B_1,C_1,D_1
A_12,B_12,C_2,D_2
A_7,B_7,C_7,D_2
A_18,B_18,C_8,D_3
A_38,B_18,C_8,D_3
A_7,B_7,C_7,D_2
A_22,B_2,C_2,D_2
A_13,B_13,C_3,D_3
A_3,B_3,C_3,D_3
A_9,B_9,C_9,D_4
A_21,B_1,C_1,D_1
A_19,B_19,C_9,D_4
A_37,B_17,C_7,D_2
A_34,B_14,C_4,D_4
A_9,B_9,C_9,D_4
A_33,B_13,C_3,D_3
A_37,B_17,C_7,D_2
A_11,B_11,C_1,D_1
A_20,B_0,C_0,D_0
A_9,B_9,C_9,D_4
A_14,B_14,C_4,D_4
A_29,B_9,C_9,D_4
A_25,B_5,C_5,D_0
A_25,B_5,C_5,D_0
A_28,B_8,C_8,D_3
A_1,B_1,C_1,D_1
A_4,B_4,C_4,D_4
A_12,B_12,C_2,D_2
A_8,B_8,C_8,D_3
A_29,B_9,C_9,D_4
A_36,B_16,C_6,D_1
A_39,B_19,C_9,D_4
A_20,B_0,C_0,D_0
A_2,B_2,C_2,D_2
A_6,B_6,C_6,D_1
A_36,B_16,C_6,D_1
A_37,B_17,C_7,D_2
A_12,B_12,C_2,D_2
A_30,B_10,C_0,D_0
A_39,B_19,C_9,D_4
A_5,B_5,C_5,D_0
A_16,B_16,C_6,D_1
A_30,B_10,C_0,D_0
A_35,B_15,C_5,D_0
A_21,B_1,C_1,D_1
A_27,B_7,C_7,D_2
A_39,B_19,C_9,D_4
A_16,B_16,C_6,D_1
A_39,B_19,C_9,D_4
A_9,B_9,C_9,D_4
A_35,B_15,C_5,D_0
A_12,B_12,C_2,D_2
A_37,B_17,C_7,D_2
A_8,B_8,C_8,D_3
A_22,B_2,C_2,D_2
A_14,B_14,C_4,D_4
A_22,B_2,C_2,D_2
A_24,B_4,C_4,D_4
A_28,B_8,C_8,D_3
A_38,B_18,C_8,D_3
A_19,B_19,C_9,D_4
A_7,B_7,C_7,D_2
A_38,B_18,C_8,D_3
A_8,B_8,C_8,D_3
A_3,B_3,C_3,D_3
A_12,B_12,C_2,D_2
A_33,B_13,C_3,D_3
A_28,B_8,C_8,D_3
A_37,B_17,C_7,D_2
A_31,B_11,C_1,D_1
A_35,B_15,C_5,D_0
A_28,B_8,C_8,D_3
A_19,B_19,C_9,D_4
A_34,B_14,C_4,D_4
A_9,B_9,C_9,D_4
A_4,B_4,C_4,D_4
A_13,B_13,C_3,D_3
A_34,B_14,C_4,D_4
A_9,B_9,C_9,D_4
A_14,B_14,C_4,D_4
