state_code,lat,lon,bird,lat_zone
MA,42.47,-72.65,Black-capped Chickadee,middle
AZ,36.87,-110.19,Cactus Wren,middle
KS,37.43,-99.57,Western Meadowlark,middle
WI,45.2,-90.4,American Robin,middle
ID,44.08,-115.68,Mountain Bluebird,middle
DE,39.66,-75.72,Delaware Blue Hen,middle
VT,44.7,-72.65,Hermit Thrush,middle
TN,35.77,-84.67,Northern Mockingbird,middle
CO,40.02,-105.93,Lark Bunting,middle
NV,41.93,-114.19,Mountain Bluebird,middle
VT,44.68,-73.18,Hermit Thrush,middle
OH,40.84,-82.07,Northern Cardinal,middle
MD,39.7,-77.99,Baltimore Oriole,middle
PA,40.1,-75.31,Northern Cardinal,middle
KS,38.21,-100.07,Western Meadowlark,middle
TX,27.09,-97.55,Northern Mockingbird,low
CO,40.46,-106.13,Lark Bunting,middle
FL,30.08,-83.95,Northern Mockingbird,middle
SD,44.76,-103.48,Ring-necked Pheasant,middle
IN,41.01,-87.26,Northern Cardinal,middle
CT,41.38,-73.49,American Robin,middle
MO,38.94,-92.06,Eastern Bluebird,middle
UT,38.78,-112.74,California Gull,middle
MO,38.73,-94.03,Eastern Bluebird,middle
CA,39.05,-121.47,California Quail,middle
ME,45.95,-69.66,Chickadee,middle
MO,39.23,-94.72,Eastern Bluebird,middle
NC,36.4,-80.29,Northern Cardinal,middle
WY,41.87,-104.16,Western Meadowlark,middle
FL,26.76,-80.95,Northern Mockingbird,low
ND,47.62,-102.0,Western Meadowlark,middle
SD,44.37,-99.87,Ring-necked Pheasant,middle
GA,33.43,-82.82,Brown Thrasher,middle
MT,47.24,-115.28,Western Meadowlark,middle
FL,28.75,-81.51,Northern Mockingbird,low
CA,40.97,-122.28,California Quail,middle
IN,38.06,-86.49,Northern Cardinal,middle
MA,42.28,-73.0,Black-capped Chickadee,middle
ID,45.2,-116.46,Mountain Bluebird,middle
TX,31.62,-95.16,Northern Mockingbird,middle
MD,38.41,-75.73,Baltimore Oriole,middle
MO,37.0,-89.41,Eastern Bluebird,middle
DC,38.91,-76.95,Not Recorded,middle
WV,38.42,-81.18,Northern Cardinal,middle
CO,40.92,-107.35,Lark Bunting,middle
CA,34.5,-115.47,California Quail,middle
HI,19.43,-154.96,Hawaiian Nene,low
ID,42.45,-115.87,Mountain Bluebird,middle
ND,47.08,-100.78,Western Meadowlark,middle
NM,31.39,-108.9,Greater Roadrunner,middle
NJ,40.35,-74.63,Eastern Goldfinch,middle
VA,37.2,-80.61,Northern Cardinal,middle
VA,38.29,-79.32,Northern Cardinal,middle
MN,46.37,-95.03,Common Loon,middle
WI,45.9,-90.99,American Robin,middle
MA,42.52,-72.7,Black-capped Chickadee,middle
OH,39.87,-83.47,Northern Cardinal,middle
WA,45.86,-121.85,Willow Goldfinch,middle
IL,39.58,-88.39,Northern Cardinal,middle
WA,47.0,-119.34,Willow Goldfinch,middle
HI,21.6,-157.99,Hawaiian Nene,low
SD,44.21,-97.14,Ring-necked Pheasant,middle
RI,41.62,-71.58,Rhode Island Red,middle
